Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,17,0,1,10,6,3,17,1,1,100,1,0,12,38,29,2,0,1,0,2,13,13,100,3
Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0,2,1,1,0,1,0,2,0,0,,0,0,2,5,5,0,0,0,1,0,4,2,50,0
Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,2,0,1,2,0,0,2,0,0,,0,0,2,32,8,1,0,0,0,0,1,1,100,0
Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,546,446,543,4,0,0,380,0,0,,0,0,243,910,527,0,0,0,0,0,232,229,98.7,0
John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,1752,71,395,963,500,29,1635,41,63,65.1,44,1,1146,5315,2954,125,32,7,34,37,1164,1065,91.5,59
Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0,5,0,2,4,0,0,5,0,0,,0,0,4,31,28,0,0,0,1,0,5,3,60,0
Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,1358,77,388,718,331,43,1331,17,32,53.1,19,1,786,4154,1911,80,24,4,28,20,1109,878,79.2,69
Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,1597,50,285,764,703,61,1503,75,137,54.7,82,5,1185,7885,3763,199,69,19,44,62,1169,960,82.1,96
Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,1584,96,422,942,324,31,1558,33,45,73.3,33,0,1056,5967,2941,130,47,3,31,32,1104,1008,91.3,38
Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,974,146,494,467,50,28,947,4,6,66.7,5,0,474,2388,1029,19,1,0,4,5,472,452,95.8,3
Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,32,0,4,14,15,2,32,1,2,50,2,0,26,108,37,2,1,0,3,4,37,25,67.6,6
Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,94,0,16,57,28,1,82,1,2,50,1,1,69,302,204,8,4,0,0,1,72,69,95.8,1
Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,1011,893,1009,4,0,0,791,0,0,,0,0,509,1792,725,0,0,0,1,0,528,526,99.6,0
Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,737,25,218,504,67,0,730,3,8,37.5,6,0,555,2658,1098,40,7,0,7,14,572,554,96.9,8
Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,1492,1327,1491,2,0,0,1133,2,2,100,2,0,790,3286,1666,0,0,0,3,1,724,723,99.9,0
Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,8.6,555,24,157,295,120,1,502,2,3,66.7,2,0,282,1062,474,19,6,0,2,1,337,329,97.6,4
James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,875,44,185,451,272,11,822,3,5,60,3,0,539,1926,1005,42,15,1,9,10,645,599,92.9,31
Yerry Mina,co COL,DF,Everton,26,1994,9.4,459,102,273,179,24,13,451,0,1,0,1,0,246,1284,566,7,0,0,3,1,269,255,94.8,4
Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,101,2,10,38,55,12,101,1,6,16.7,1,0,77,299,145,10,0,1,2,2,116,83,71.6,22
Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,1960,376,1203,759,125,55,1893,9,11,81.8,9,0,1096,6873,3659,67,15,1,7,3,1231,1178,95.7,10
Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,2290,153,884,1002,525,33,1896,15,29,51.7,16,1,1264,5337,2745,94,41,2,33,38,1277,1183,92.6,60
Jakub Moder,pl POL,MFFW,Brighton,22,1999,18.9,1052,40,206,435,483,68,1022,13,33,39.4,15,4,681,3382,1669,89,36,4,31,28,898,723,80.5,91
Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0,4,0,0,1,3,0,4,0,0,,0,0,1,0,0,0,0,0,1,0,6,4,66.7,1
Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,39,0,3,33,5,0,39,0,0,,0,0,27,91,36,2,0,0,0,0,23,21,91.3,0
Mason Mount,eng ENG,MFFW,Chelsea,22,1999,26.3,1576,17,140,593,954,155,1460,22,46,47.8,23,3,1147,5821,3276,180,80,30,49,44,1485,1187,79.9,240
Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,1047,20,116,578,450,64,1034,40,73,54.8,43,1,754,4036,2254,144,52,15,55,43,1002,789,78.7,101
João Moutinho,pt POR,MF,Wolves,34,1986,33,2259,74,550,1306,513,11,2084,17,25,68,21,0,1446,6357,3246,142,36,3,21,27,1576,1478,93.8,45
Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,19,8,12,4,3,0,19,0,1,0,0,0,9,53,19,1,0,0,0,0,9,8,88.9,0
Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,776,35,208,300,324,66,690,15,28,53.6,17,2,462,3035,1936,95,23,18,22,27,548,430,78.5,58
Enock Mwepu,zm ZAM,MFFW,Brighton,23,1998,11.1,557,31,123,281,198,39,555,12,21,57.1,14,1,360,1781,998,42,16,7,26,15,450,347,77.1,50
Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,610,48,196,215,213,14,490,5,11,45.5,7,1,270,997,484,16,5,0,6,6,269,240,89.2,11
Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10,476,33,156,283,55,0,467,7,10,70,7,1,269,1203,457,15,5,0,5,9,281,261,92.9,4
Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18,1180,103,422,655,150,18,1160,7,10,70,7,0,687,2943,1184,41,10,1,18,14,700,668,95.4,12
Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,352,5,46,217,114,13,344,13,24,54.2,13,1,264,1289,794,52,15,7,15,19,313,278,88.8,30
Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,16,0,0,7,10,2,16,0,0,,0,0,11,44,14,0,0,0,1,0,12,11,91.7,3
Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,307,1,28,125,183,32,279,9,22,40.9,11,3,226,1532,977,45,14,9,22,13,298,232,77.9,45
Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,2235,101,597,1364,390,10,2166,28,39,71.8,31,2,1573,6333,3130,113,37,3,16,23,1653,1590,96.2,27
Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10,553,47,239,220,130,2,468,10,15,66.7,11,2,288,1471,906,29,18,0,5,7,283,261,92.2,6
Saúl Ñíguez,es ESP,MFDF,Chelsea,26,1994,5.3,428,11,104,230,109,13,399,3,6,50,3,0,250,884,352,16,3,1,7,11,319,293,91.8,20
Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,373,8,37,173,194,71,364,10,27,37,13,1,253,1627,857,43,23,12,34,13,422,278,65.9,71
Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,72,11,38,34,2,0,71,1,1,100,1,0,42,126,47,0,0,0,0,1,41,40,97.6,0
Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,305,8,80,207,35,2,292,1,1,100,1,0,210,817,347,12,4,0,5,2,246,237,96.3,3
Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,2056,116,575,1224,340,58,1972,13,24,54.2,14,0,1053,4238,2090,80,26,4,17,26,1245,1123,90.2,34
Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,991,77,346,527,179,4,932,20,28,71.4,20,0,567,3002,1531,55,16,1,16,21,623,572,91.8,3
Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,1870,19,222,941,831,72,1741,22,42,52.4,23,2,1334,6775,3612,201,63,13,43,49,1589,1391,87.5,117
Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,528,69,293,251,14,8,523,0,0,,0,0,353,1949,715,6,1,0,0,1,375,363,96.8,1
Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,832,17,86,395,425,47,768,24,53,45.3,24,0,601,3533,2252,121,38,13,26,31,724,588,81.2,48
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,49,48,49,0,0,0,27,0,0,,0,0,14,58,43,0,0,0,0,0,14,13,92.9,0
Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,276,30,139,144,17,2,263,0,0,,0,0,162,931,539,16,5,0,2,1,164,161,98.2,1
Tyler Onyango,eng ENG,MFFW,Everton,18,2003,0.3,5,0,1,3,1,1,5,1,2,50,1,1,2,0,0,0,0,0,0,0,6,2,33.3,0
Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,469,24,127,244,127,17,461,9,14,64.3,10,0,283,1649,862,35,9,3,11,18,353,271,76.8,29
Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,68,2,6,21,42,17,68,1,3,33.3,2,0,46,142,65,4,1,1,9,5,66,50,75.8,17
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,503,6,50,259,245,33,493,10,15,66.7,13,0,366,2088,1234,65,33,5,9,18,465,371,79.8,54
Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,76,0,5,30,46,15,76,1,3,33.3,1,1,57,265,139,7,2,3,6,4,73,62,84.9,21
Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,2,0,0,1,1,1,2,0,0,,0,0,2,10,2,0,0,0,0,0,2,2,100,1
Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,1425,65,395,845,284,23,1403,29,40,72.5,30,4,989,4802,2504,86,29,2,15,20,1044,996,95.4,14
Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,510,12,65,162,309,64,470,20,41,48.8,21,1,366,1642,839,60,13,10,29,24,456,355,77.9,66
Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11,798,39,250,392,200,21,698,10,16,62.5,10,2,473,1948,1208,64,18,4,9,6,523,469,89.7,15
Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,244,6,45,128,89,21,241,8,16,50,9,1,166,719,430,28,13,4,12,16,231,169,73.2,36
Sonny Perkins,eng ENG,FW,West Ham,17,2004,0,1,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,3,1,33.3,0
Romain Perraud,fr FRA,DF,Southampton,23,1997,18,955,58,263,386,354,27,807,9,22,40.9,12,0,558,2945,1550,63,21,4,17,11,588,510,86.7,44
Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,1170,73,394,663,182,8,1127,8,13,61.5,10,0,704,3177,1191,27,12,2,10,18,743,709,95.4,17
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,3,0,1,0,2,0,3,0,0,,0,0,1,0,0,0,0,0,0,1,4,2,50,1
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,1243,1045,1220,29,0,0,849,1,1,100,1,0,548,4042,2240,0,0,0,0,0,480,478,99.6,0
Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,457,56,166,214,100,3,378,3,7,42.9,3,0,196,967,574,20,9,0,7,3,195,181,92.8,4
Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,1925,307,1046,725,224,55,1694,5,8,62.5,6,0,800,4048,2209,39,8,0,13,7,1007,960,95.3,13
Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,223,8,53,81,100,16,205,6,10,60,6,0,154,998,567,25,5,6,11,15,210,138,65.7,23
Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,839,2,106,390,426,57,803,33,67,49.3,34,4,656,3736,2388,118,49,24,34,33,875,654,74.7,97
Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15,1086,28,182,651,326,51,1075,40,52,76.9,41,1,811,3509,2109,97,24,8,25,34,968,851,87.9,60
Nick Pope,eng ENG,GK,Burnley,29,1992,36,1212,999,1185,33,0,0,792,1,1,100,1,0,461,3150,1881,0,0,0,0,0,328,328,100,0
Isaac Price,nir NIR,MF,Everton,17,2003,0.2,5,0,1,2,2,2,5,0,0,,0,0,1,4,0,0,0,0,0,0,3,2,66.7,1
Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,845,9,48,400,445,175,755,30,65,46.2,32,7,523,2541,1461,81,25,30,61,50,1280,531,41.5,224
Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,681,9,82,296,362,79,665,20,47,42.6,24,1,511,2861,1561,90,25,13,41,31,704,511,72.6,121
Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,41,1,7,21,15,2,39,0,2,0,0,0,28,176,95,2,1,0,2,1,35,28,80,5
Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,1249,995,1238,14,0,0,977,2,2,100,2,0,685,3537,1851,0,0,0,0,0,611,606,99.2,0
Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,1388,52,287,751,488,60,1372,24,40,60,27,2,1013,6578,3665,165,60,16,52,45,1143,992,86.8,80
Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,1794,48,250,800,849,145,1612,59,149,39.6,70,15,1199,5557,3434,183,36,33,82,52,1670,1193,71.4,191
Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,589,8,62,245,323,77,581,20,52,38.5,23,3,407,1927,1182,58,20,14,36,34,712,474,66.6,120
Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,949,42,206,380,464,71,869,24,80,30,28,9,640,4671,3023,120,47,23,51,54,882,581,65.9,111
David Raya,es ESP,GK,Brentford,25,1995,24,1112,895,1086,29,0,0,833,0,0,,0,0,540,2780,1355,1,0,0,2,0,551,550,99.8,0
Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,916,26,137,399,449,51,877,22,39,56.4,25,3,626,3883,2168,117,48,15,24,19,839,624,74.4,95
Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,1252,75,351,499,463,56,1091,18,48,37.5,19,5,759,3480,1946,98,33,11,26,20,866,752,86.8,79
Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,2508,151,719,1592,451,52,2478,37,61,60.7,41,2,1799,12848,6605,251,92,13,21,29,1839,1768,96.1,35
Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,32,0,3,15,16,0,32,0,1,0,1,0,26,123,59,3,2,0,0,1,29,26,89.7,4
Richarlison,br BRA,FWMF,Everton,24,1997,28,1053,40,145,396,575,154,1032,33,71,46.5,37,3,679,3245,1782,96,21,28,82,75,1282,665,51.9,142
Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,66,2,19,39,15,1,61,0,2,0,0,0,43,187,73,4,2,0,1,1,46,41,89.1,3
Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,827,45,262,341,257,9,647,3,5,60,3,1,406,1584,721,30,9,0,7,4,439,403,91.8,13
Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,1035,80,298,505,286,18,843,8,14,57.1,8,3,519,2624,1497,68,28,5,8,4,555,502,90.5,22
Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11,435,12,71,213,191,49,420,9,22,40.9,9,0,310,1778,815,43,18,8,21,13,450,300,66.7,79
Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,2536,83,548,1237,905,93,2188,16,32,50,19,2,1613,7311,4585,205,70,10,17,19,1871,1719,91.9,115
Joe Rodon,wls WAL,DF,Tottenham,23,1997,1,44,10,19,26,1,0,44,0,0,,0,0,23,67,13,0,0,0,0,0,25,23,92,0
Rodri,es ESP,MF,Manchester City,25,1996,32,3096,95,618,1965,698,64,3061,9,18,50,10,1,2181,9213,4710,205,44,8,13,28,2457,2382,96.9,61
Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,1177,33,177,633,450,79,1123,15,40,37.5,16,0,782,3884,1744,96,37,11,60,33,1206,867,71.9,191
Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,491,14,73,223,220,55,487,11,18,61.1,13,2,236,1308,634,33,13,3,25,13,685,336,49.1,66
Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,497,50,197,177,140,12,474,3,15,20,6,0,260,1050,410,21,5,1,9,12,336,261,77.7,25
Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,1533,259,837,715,88,18,1499,9,14,64.3,10,0,1024,5473,3097,79,21,2,11,8,1049,1019,97.1,7
Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,1996,87,476,1229,425,54,1967,24,36,66.7,24,0,1267,6140,3203,144,49,5,27,20,1330,1263,95,40
Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,1184,32,99,549,591,182,1144,19,36,52.8,21,0,765,3435,2054,141,34,35,44,39,1513,965,63.8,218
Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,293,13,28,125,146,53,287,4,8,50,4,0,137,502,196,10,1,2,24,10,429,206,48,49
Danny Rose,eng ENG,DF,Watford,31,1990,7.7,409,34,138,180,112,4,305,9,15,60,9,2,175,833,508,25,8,0,4,6,192,173,90.1,6
Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,116,2,22,54,52,11,113,5,11,45.5,6,0,89,487,272,13,5,1,2,10,119,76,63.9,13
John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,36,35,36,0,0,0,21,0,0,,0,0,8,39,18,0,0,0,0,0,9,9,100,0
Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,2759,226,1090,1564,313,49,2705,6,10,60,7,1,2007,9572,5631,187,63,3,9,18,2197,2143,97.5,17
Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,495,25,122,267,143,17,492,13,18,72.2,13,1,367,1702,853,46,16,0,15,23,389,348,89.5,35
José Sá,pt POR,GK,Wolves,28,1993,36.5,1201,1112,1192,9,0,0,865,2,2,100,2,0,540,3186,1743,0,0,0,0,0,399,399,100,0
Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,1222,10,110,596,711,131,1197,140,230,60.9,150,4,1163,8055,5125,246,83,53,85,119,1302,942,72.4,138
Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,2111,303,1205,869,127,35,2061,5,8,62.5,6,1,1217,5502,2923,73,19,1,5,8,1411,1373,97.3,6
Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,1671,31,197,607,988,229,1583,49,100,49,51,7,1212,7011,4694,262,66,61,80,63,1681,1212,72.1,233
Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,1583,6,70,496,1110,333,1568,57,136,41.9,70,2,1231,5374,3288,213,39,71,79,84,1976,1310,66.3,367
Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33,2244,300,1073,1090,206,34,2114,9,14,64.3,9,0,1211,7505,3499,111,18,0,8,17,1248,1214,97.3,5
Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,930,35,229,548,211,7,907,4,7,57.1,4,0,635,3861,2091,92,22,1,10,7,717,689,96.1,17
Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,1290,138,568,685,117,22,1263,3,5,60,4,0,834,4031,2250,103,22,0,3,10,923,896,97.1,5
Robert Sánchez,es ESP,GK,Brighton,23,1997,37,1597,1263,1584,15,0,0,1290,0,0,,0,0,893,4107,2426,0,0,0,0,0,914,914,100,0
Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,1192,18,170,517,648,116,1164,48,83,57.8,50,15,940,6057,4126,210,74,52,37,38,1139,925,81.2,142
Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4,219,5,46,137,56,3,218,6,7,85.7,6,0,163,1064,546,27,7,1,5,11,162,139,85.8,7
Samir Santos,br BRA,DF,Watford,26,1994,18.6,856,118,552,333,22,11,843,0,1,0,0,1,455,2214,1023,16,2,1,2,4,451,444,98.4,1
Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,652,33,123,279,288,64,643,18,34,52.9,18,1,371,2094,996,39,18,4,41,35,687,404,58.8,90
Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,35,2,6,14,18,1,34,1,1,100,1,0,25,196,120,5,2,0,3,2,26,20,76.9,4
Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,759,16,107,306,422,80,751,35,68,51.5,37,8,592,3632,2416,126,44,24,61,56,856,560,65.4,129
Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,539,38,207,312,56,0,508,0,4,0,1,0,364,1794,783,31,13,0,1,1,391,384,98.2,2
Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0,1,0,0,1,0,0,1,1,1,100,1,0,2,2,1,0,0,0,0,0,3,1,33.3,0
Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24,1223,201,693,543,78,26,1140,8,13,61.5,9,0,673,4116,2421,51,13,0,4,6,674,653,96.9,3
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,974,54,235,546,259,61,966,27,49,55.1,30,4,591,2962,1484,65,13,8,30,34,719,597,83,58
Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,1353,1198,1341,13,0,0,931,1,1,100,1,0,574,2453,1104,1,0,0,0,0,580,574,99,0
Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,322,22,94,139,113,15,302,14,27,51.9,15,2,207,993,518,26,3,5,15,25,290,181,62.4,35
Nélson Semedo,pt POR,DF,Wolves,27,1993,23.7,1467,96,425,631,523,56,1255,31,64,48.4,37,3,942,4802,3003,150,51,16,35,31,981,848,86.4,83
Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,11.6,569,38,172,191,238,44,501,5,13,38.5,5,0,331,1858,1039,53,7,7,21,16,394,328,83.2,50
Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,492,26,196,234,97,13,431,8,15,53.3,8,1,318,1585,834,28,7,2,4,6,318,284,89.3,14
Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,1321,61,318,634,473,16,1102,10,24,41.7,12,1,812,4376,2522,96,51,1,9,10,912,831,91.1,32
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22,1098,57,343,615,191,3,1014,9,12,75,11,0,644,2848,1105,32,9,0,15,9,691,646,93.5,7
Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,0.2,6,1,2,1,4,0,6,0,0,,0,0,3,20,2,0,0,0,0,0,6,4,66.7,1
Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,244,66,191,62,2,2,239,1,1,100,1,0,121,522,251,1,0,0,2,1,134,131,97.8,0
Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,2243,50,319,1090,1023,205,2168,50,87,57.5,57,2,1721,10248,5865,341,108,39,36,34,1997,1769,88.6,213
Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,215,1,10,110,116,44,202,5,21,23.8,6,3,142,865,548,30,15,6,15,17,312,150,48.1,46
Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,2813,391,1331,1607,81,24,2761,4,6,66.7,5,1,1944,11337,6931,205,24,1,6,3,2157,2121,98.3,4
Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,19,2,4,12,3,1,19,0,0,,0,0,8,6,1,1,0,1,0,1,32,13,40.6,0
Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,1532,124,432,846,362,44,1502,45,65,69.2,47,5,912,5085,2730,85,36,6,36,53,998,845,84.7,68
Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15,952,30,192,658,155,10,936,2,3,66.7,2,0,650,3122,1712,85,29,5,8,13,730,690,94.5,13
William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,55,2,13,23,22,4,51,0,1,0,0,0,28,195,117,4,2,1,2,0,44,26,59.1,8
Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,1037,21,150,481,501,69,998,32,50,64,33,0,748,4219,2657,130,54,19,37,37,928,765,82.4,98
Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,1254,53,305,606,402,15,1054,7,11,63.6,7,0,745,3422,1554,83,29,1,5,15,807,755,93.6,8
Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,371,39,172,184,33,7,362,4,4,100,4,1,216,1132,581,21,4,0,2,3,244,227,93,3
Tomáš Souček,cz CZE,MF,West Ham,26,1995,34,1745,157,505,942,381,92,1727,8,20,40,9,1,864,3994,1767,76,30,2,31,17,1276,1035,81.1,58
Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,692,36,189,406,131,7,689,9,18,50,10,1,451,1938,803,36,7,1,15,20,548,488,89.1,21
Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,2135,308,1205,995,58,15,2088,6,9,66.7,6,0,1359,6853,3167,57,12,0,8,3,1475,1453,98.5,2
Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,54,3,15,28,20,5,53,2,3,66.7,3,0,44,268,206,11,4,2,3,4,52,40,76.9,7
Jason Steele,eng ENG,GK,Brighton,30,1990,1,42,37,42,0,0,0,36,0,0,,0,0,28,90,36,0,0,0,0,0,28,28,100,0
Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,37,33,36,1,0,0,28,0,0,,0,0,19,77,52,0,0,0,0,0,20,19,95,0
Zack Steffen,us USA,GK,Manchester City,26,1995,1,41,37,41,0,0,0,32,0,0,,0,0,18,58,23,0,0,0,0,0,20,20,100,0
Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,74,4,14,54,10,0,74,0,0,,0,0,32,116,34,0,2,0,2,0,42,36,85.7,1
Jack Stephens,eng ENG,DF,Southampton,27,1994,9,551,80,297,279,21,3,529,1,2,50,1,0,295,1888,1044,25,8,0,1,2,315,307,97.5,2
Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,1202,7,59,379,850,217,1193,49,109,45,53,4,1039,4986,2979,188,33,52,45,72,1306,1002,76.7,234
Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,10,0,2,5,3,1,10,0,0,,0,0,4,22,0,0,0,0,0,0,6,5,83.3,1
John Stones,eng ENG,DF,Manchester City,27,1994,12.4,1061,101,378,673,95,10,1026,6,7,85.7,6,1,775,4822,2729,104,24,0,5,2,861,844,98,3
Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,1502,207,851,635,95,15,1453,4,6,66.7,4,0,855,4463,2309,34,4,0,5,11,953,911,95.6,11
Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,93,2,16,30,51,7,92,3,6,50,3,0,75,388,173,14,0,1,2,5,81,61,75.3,13
Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,502,47,181,242,115,11,448,3,6,50,3,1,283,1405,953,35,15,3,4,9,327,310,94.8,12
Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,965,62,289,423,291,17,818,1,5,20,1,0,508,1905,1096,36,11,3,8,6,586,526,89.8,31
Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,938,60,310,407,251,13,723,9,16,56.3,9,3,429,1459,673,27,12,0,9,7,451,421,93.3,18
James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,1588,308,843,686,114,67,1570,7,9,77.8,7,0,601,2909,1319,23,6,0,13,4,744,691,92.9,12
Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,888,48,266,376,316,47,782,20,37,54.1,20,0,595,3254,1964,90,30,12,18,18,600,559,93.2,43
