Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,3,2,1,1,1,2,11,18.2,9,64,22,34.4,4,34,26,1,0,0,1,3,6,1,0
Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,36,21,23,8,5,11,21,52.4,10,203,66,32.5,113,67,23,70,34,3,36,78,114,181,2
Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,107,54,73,24,10,42,64,65.6,22,683,217,31.8,394,189,100,77,6,0,71,80,187,85,1
Jakub Moder,pl POL,MFFW,Brighton,22,1999,18.9,42,29,19,14,9,18,40,45,22,361,116,32.1,118,135,108,31,2,0,29,22,64,26,1
Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0,0,0,0,0,0,0,0,,0,2,1,50,1,0,1,0,0,0,0,0,0,0,0
Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,0,0,0,0,0,0,2,0,2,12,4,33.3,1,9,2,0,0,0,0,2,2,0,0
Mason Mount,eng ENG,MFFW,Chelsea,22,1999,26.3,43,29,10,18,15,11,33,33.3,22,528,161,30.5,86,208,234,23,2,0,21,20,63,11,0
Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,29,14,6,16,7,6,26,23.1,20,278,68,24.5,66,140,72,18,1,0,17,22,51,21,0
João Moutinho,pt POR,MF,Wolves,34,1986,33,76,54,37,29,10,27,98,27.6,71,608,186,30.6,232,318,58,52,8,0,44,48,124,35,0
Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,1,0,1,0,0,0,0,,0,12,3,25,10,2,0,2,0,0,2,1,2,5,0
Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,41,17,27,11,3,15,35,42.9,20,320,71,22.2,136,106,78,31,2,0,29,33,74,20,0
Enock Mwepu,zm ZAM,MFFW,Brighton,23,1998,11.1,25,14,8,12,5,7,29,24.1,22,223,57,25.6,63,93,67,24,4,0,20,16,41,19,0
Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,28,14,16,9,3,12,26,46.2,14,172,43,25,88,58,26,34,2,0,32,25,53,31,1
Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10,31,19,19,11,1,14,35,40,21,209,59,28.2,107,86,16,16,4,0,12,23,54,16,0
Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18,70,47,39,28,3,21,47,44.7,26,410,137,33.4,155,214,41,32,6,0,26,45,115,69,0
Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,13,10,4,8,1,1,6,16.7,5,88,26,29.5,24,45,19,2,1,0,1,3,16,3,0
Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,1,0,0,1,0,0,0,,0,8,2,25,2,5,1,0,0,0,0,1,2,0,0
Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,5,5,2,2,1,0,7,0,7,90,22,24.4,18,38,34,1,0,0,1,6,11,1,0
Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,67,43,32,29,6,22,90,24.4,68,541,145,26.8,203,288,50,43,6,0,37,55,122,54,1
Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10,41,21,34,4,3,20,33,60.6,13,202,55,27.2,139,48,15,16,3,0,13,29,70,20,0
Saúl Ñíguez,es ESP,MFDF,Chelsea,26,1994,5.3,15,8,7,6,2,6,15,40,9,103,29,28.2,43,48,12,13,3,0,10,14,29,7,1
Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,12,7,0,7,5,1,3,33.3,2,178,50,28.1,11,62,105,7,2,0,5,6,18,7,0
Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,1,0,0,1,0,0,0,,0,7,5,71.4,5,2,0,5,2,0,3,1,2,10,0
Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,11,7,9,2,0,2,4,50,2,53,21,39.6,23,23,7,4,1,0,3,5,16,3,0
Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,130,80,54,64,12,54,105,51.4,51,691,218,31.5,260,366,65,59,10,1,49,85,215,57,1
Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,38,24,21,14,3,11,35,31.4,24,324,66,20.4,144,156,24,26,11,1,15,25,63,43,0
Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,43,25,5,19,19,12,39,30.8,27,574,154,26.8,107,262,205,18,1,0,17,22,65,12,1
Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,13,8,8,5,0,2,7,28.6,5,50,16,32,32,15,3,7,4,0,3,13,26,38,0
Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,22,15,9,8,5,9,20,45,11,248,69,27.8,72,118,58,23,0,0,23,12,34,9,0
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,8,3,5,3,0,6,12,50,6,49,14,28.6,37,12,0,10,10,0,0,10,18,17,0
Tyler Onyango,eng ENG,MFFW,Everton,18,2003,0.3,1,0,1,0,0,0,1,0,1,10,2,20,6,3,1,0,0,0,0,1,2,0,0
Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,30,16,14,12,4,5,20,25,15,253,69,27.3,109,106,38,20,2,0,18,15,45,13,0
Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,0,0,0,0,0,0,3,0,3,29,5,17.2,2,16,11,2,0,0,2,3,3,1,0
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,17,14,3,7,7,5,13,38.5,8,172,63,36.6,26,76,70,11,3,0,8,8,25,7,0
Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,2,2,1,1,0,0,1,0,1,29,6,20.7,3,11,15,2,0,0,2,2,4,0,0
Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,55,41,25,23,7,18,41,43.9,23,291,103,35.4,107,148,36,28,5,0,23,33,88,32,1
Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,14,11,7,5,2,2,9,22.2,7,122,35,28.7,36,45,41,13,1,0,12,9,23,3,1
Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11,45,25,24,15,6,20,39,51.3,19,194,62,32,76,81,37,27,4,0,23,25,70,32,0
Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,8,6,2,5,1,2,11,18.2,9,128,33,25.8,31,62,35,11,2,0,9,9,17,3,0
Sonny Perkins,eng ENG,FW,West Ham,17,2004,0,0,0,0,0,0,0,0,,0,1,1,100,0,1,0,0,0,0,0,0,0,0,0
Romain Perraud,fr FRA,DF,Southampton,23,1997,18,38,20,19,14,5,16,28,57.1,12,325,85,26.2,146,108,71,30,7,1,23,24,62,46,0
Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,64,42,27,32,5,18,48,37.5,30,504,149,29.6,163,261,80,42,10,0,32,34,98,30,1
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,0,0,0,0,0,0,0,,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,1,0,1,0,0,0,1,0,1,7,1,14.3,7,0,0,2,0,0,2,0,1,1,0
Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,28,16,22,5,1,16,35,45.7,19,143,40,28,75,53,15,25,7,0,18,23,51,27,1
Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,63,38,46,15,2,20,36,55.6,16,281,102,36.3,167,94,20,49,13,0,36,56,119,175,1
Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,5,3,5,0,0,0,4,0,4,115,25,21.7,34,55,26,7,1,0,6,9,14,5,0
Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,19,9,9,6,4,8,21,38.1,13,247,67,27.1,49,101,97,13,2,0,11,6,25,0,0
Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15,20,13,9,9,2,5,19,26.3,14,264,76,28.8,61,127,76,16,1,0,15,19,39,25,0
Nick Pope,eng ENG,GK,Burnley,29,1992,36,0,0,0,0,0,0,2,0,2,1,1,100,1,0,0,0,0,0,0,0,0,4,2
Isaac Price,nir NIR,MF,Everton,17,2003,0.2,1,0,0,1,0,1,1,100,0,8,1,12.5,4,3,1,1,0,0,1,1,2,0,0
Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,24,11,1,14,9,3,16,18.8,13,702,175,24.9,40,289,373,21,2,0,19,17,41,4,0
Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,18,9,5,11,2,2,12,16.7,10,294,72,24.5,47,124,123,18,0,0,18,11,29,9,0
Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0,0,0,0,0,0,1,0,1,20,2,10,3,9,8,2,0,0,2,3,3,0,0
Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,0,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,2,0
Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,66,41,35,27,4,22,59,37.3,37,547,148,27.1,186,258,103,41,7,0,34,38,104,27,0
Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,54,25,24,19,11,18,69,26.1,51,574,136,23.7,142,239,193,59,2,0,57,43,97,23,0
Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,8,6,2,5,1,3,17,17.6,14,254,76,29.9,41,115,98,11,1,0,10,12,20,6,1
Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,33,21,15,13,5,14,34,41.2,20,328,93,28.4,114,111,103,27,3,0,24,36,69,20,0
David Raya,es ESP,GK,Brentford,25,1995,24,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,20,13,6,10,4,5,22,22.7,17,364,100,27.5,90,144,130,34,2,0,32,21,41,18,0
Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,47,28,22,19,6,23,39,59,16,298,89,29.9,117,131,50,32,7,0,25,42,89,43,0
Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,77,53,44,29,4,28,60,46.7,32,476,154,32.4,215,224,37,60,25,1,35,95,172,53,1
Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,0,0,0,0,0,0,2,0,2,10,5,50,5,5,0,0,0,0,0,0,0,0,0
Richarlison,br BRA,FWMF,Everton,24,1997,28,40,27,14,14,12,13,25,52,12,590,144,24.4,89,237,264,48,5,0,43,21,61,32,0
Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,2,2,0,1,1,2,4,50,2,11,3,27.3,7,2,2,4,0,0,4,0,2,2,0
Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,22,7,11,8,3,13,30,43.3,17,153,47,30.7,76,55,22,28,2,0,26,30,52,26,0
Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,21,13,11,7,3,8,16,50,8,157,46,29.3,72,62,23,49,8,0,41,42,63,55,1
Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11,17,7,7,6,4,9,15,60,6,169,44,26,24,85,60,10,1,0,9,7,24,8,0
Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,33,17,14,14,5,14,34,41.2,20,284,86,30.3,85,115,84,43,4,1,39,49,82,58,0
Joe Rodon,wls WAL,DF,Tottenham,23,1997,1,0,0,0,0,0,0,0,,0,7,3,42.9,5,2,0,3,2,0,1,2,2,8,0
Rodri,es ESP,MF,Manchester City,25,1996,32,65,46,20,36,9,29,61,47.5,32,481,171,35.6,130,254,97,48,6,1,42,40,105,54,0
Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,26,18,5,12,9,9,26,34.6,17,417,118,28.3,66,183,168,15,1,0,14,19,45,27,0
Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,22,10,9,8,5,3,15,20,12,330,70,21.2,74,114,142,25,3,0,22,6,28,12,0
Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,26,9,23,1,2,16,35,45.7,19,173,43,24.9,114,40,19,31,6,0,25,21,47,30,0
Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,75,45,43,30,2,25,43,58.1,18,317,113,35.6,195,98,24,50,23,0,27,57,132,78,1
Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,81,54,23,47,11,23,77,29.9,54,564,191,33.9,181,309,74,45,9,0,36,67,148,52,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,10,8,2,5,3,4,7,57.1,3,182,49,26.9,23,77,82,12,2,0,10,5,15,31,1
Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,6,2,0,3,3,3,10,30,7,172,50,29.1,17,75,80,6,1,0,5,4,10,11,0
Danny Rose,eng ENG,DF,Watford,31,1990,7.7,23,15,15,8,0,12,29,41.4,17,85,34,40,44,36,5,14,6,0,8,15,38,13,0
Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,7,3,3,3,1,1,1,100,0,67,16,23.9,15,28,24,7,0,0,7,4,11,0,0
John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,53,28,30,21,2,30,46,65.2,16,294,92,31.3,146,115,33,41,13,0,28,43,96,110,1
Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,10,8,5,5,0,4,14,28.6,10,172,53,30.8,75,73,24,8,1,0,7,17,27,4,1
José Sá,pt POR,GK,Wolves,28,1993,36.5,1,0,1,0,0,1,3,33.3,2,10,3,30,10,0,0,1,0,0,1,0,1,3,3
Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,24,1997,31.2,9,6,4,2,3,2,18,11.1,16,256,67,26.2,52,109,95,17,1,0,16,21,30,2,0
Romain Saïss,ma MAR,DF,Wolves,31,1990,30.1,60,38,40,17,3,18,32,56.3,14,283,103,36.4,162,101,20,61,24,0,37,81,141,173,1
Bukayo Saka,eng ENG,FWMF,Arsenal,19,2001,33.1,37,23,13,14,10,7,31,22.6,24,496,134,27,110,188,198,41,2,0,39,31,68,19,0
Mohamed Salah,eg EGY,FW,Liverpool,29,1992,30.7,17,7,5,7,5,4,21,19,17,448,127,28.3,67,127,254,13,1,0,12,15,32,4,0
Mohammed Salisu,gh GHA,DF,Southampton,22,1999,33,91,60,63,25,3,41,72,56.9,31,364,148,40.7,218,123,23,69,28,1,41,93,184,196,5
Albert Sambi Lokonga,be BEL,MF,Arsenal,21,1999,12.6,22,13,9,10,3,9,15,60,6,138,47,34.1,45,64,29,18,8,0,10,23,45,18,2
Davinson Sánchez,co COL,DF,Tottenham,25,1996,18.1,45,22,24,17,4,16,27,59.3,11,186,66,35.5,89,80,17,35,19,0,16,34,79,76,0
Robert Sánchez,es ESP,GK,Brighton,23,1997,37,0,0,0,0,0,0,0,,0,5,1,20,5,0,0,2,0,0,2,0,0,0,4
Jadon Sancho,eng ENG,FWMF,Manchester Utd,21,2000,21.1,18,13,8,8,2,7,23,30.4,16,276,68,24.6,65,128,83,28,2,0,26,24,42,5,2
Morgan Sanson,fr FRA,MF,Aston Villa,26,1994,4,12,8,5,4,3,4,6,66.7,2,135,46,34.1,51,60,24,15,0,0,15,11,23,2,0
Samir Santos,br BRA,DF,Watford,26,1994,18.6,32,19,21,10,1,10,17,58.8,7,143,53,37.1,98,38,7,28,11,1,17,54,86,82,2
Josh Sargent,us USA,FWMF,Norwich City,21,2000,17.5,34,17,16,8,10,13,32,40.6,19,361,100,27.7,97,143,121,43,2,0,41,21,55,18,2
Jeremy Sarmiento,ec ECU,FWMF,Brighton,19,2002,0.5,3,1,1,1,1,1,2,50,1,26,7,26.9,8,13,5,3,1,0,2,1,4,0,0
Ismaila Sarr,sn SEN,FWMF,Watford,23,1998,20.7,14,7,4,7,3,2,14,14.3,12,398,91,22.9,86,174,138,21,1,0,20,16,30,13,0
Malang Sarr,fr FRA,DF,Chelsea,22,1999,6.1,13,4,10,2,1,3,7,42.9,4,68,23,33.8,40,22,6,9,3,0,6,12,25,26,0
Dane Scarlett,eng ENG,MF,Tottenham,17,2004,0,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Fabian Schär,ch SUI,DF,Newcastle Utd,29,1991,24,20,11,14,4,2,11,16,68.8,5,151,47,31.1,82,52,17,37,19,2,18,75,95,121,2
Jeffrey Schlupp,gh GHA,MFFW,Crystal Palace,28,1992,20.6,50,23,19,23,8,15,41,36.6,26,384,122,31.8,112,196,76,51,10,0,41,25,75,33,0
Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,2
Ken Sema,se SWE,MFFW,Watford,27,1993,9.5,12,8,10,2,0,5,20,25,15,194,43,22.2,71,96,27,15,1,0,14,9,21,18,0
Nélson Semedo,pt POR,DF,Wolves,27,1993,23.7,59,40,40,15,4,26,48,54.2,22,379,108,28.5,182,130,67,43,4,0,39,43,102,57,0
Ryan Sessegnon,eng ENG,DF,Tottenham,21,2000,11.6,27,14,13,9,5,12,26,46.2,14,230,57,24.8,100,74,56,30,3,0,27,19,46,22,0
Jamie Shackleton,eng ENG,DFMF,Leeds United,21,1999,7.9,26,18,17,7,2,9,21,42.9,12,115,39,33.9,52,49,14,16,7,1,9,10,36,9,2
Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,17.8,22,13,9,10,3,12,24,50,12,190,55,28.9,83,72,35,40,11,0,29,15,37,22,0
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,22,28,14,12,14,2,10,32,31.3,22,287,70,24.4,105,152,30,28,7,0,21,35,63,33,2
Shola Shoretire,eng ENG,FW,Manchester Utd,17,2004,0.2,0,0,0,0,0,0,0,,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0
Francisco Sierralta,cl CHI,DF,Watford,24,1997,4.7,6,4,6,0,0,5,8,62.5,3,24,10,41.7,18,6,0,9,2,0,7,14,20,40,0
Bernardo Silva,pt POR,MFFW,Manchester City,26,1994,31.7,52,33,21,20,11,26,67,38.8,41,480,143,29.8,87,220,173,33,3,0,30,32,84,26,0
Fábio Silva,pt POR,FW,Wolves,19,2002,6.4,6,5,0,3,3,1,6,16.7,5,149,44,29.5,7,80,62,1,0,0,1,4,10,2,0
Thiago Silva,br BRA,DF,Chelsea,36,1984,29.4,36,23,18,15,3,11,25,44,14,173,57,32.9,101,66,6,65,31,3,34,65,101,114,0
Ellis Simms,eng ENG,FW,Everton,20,2001,0.7,0,0,0,0,0,0,0,,0,10,3,30,2,5,3,2,1,0,1,0,0,0,0
Moussa Sissoko,fr FRA,MF,Watford,31,1989,35.8,59,40,34,22,3,19,35,54.3,16,505,160,31.7,177,250,78,53,12,0,41,44,103,72,0
Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15,33,18,14,16,3,12,28,42.9,16,275,71,25.8,109,131,35,25,9,0,16,19,52,14,0
William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,6,5,3,3,0,1,5,20,4,44,13,29.5,10,19,15,3,0,0,3,2,8,2,0
Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,20,16,7,13,0,4,15,26.7,11,256,78,30.5,54,125,77,15,1,0,14,20,40,13,0
Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,39,20,21,10,8,15,25,60,10,194,68,35.1,76,75,43,24,8,0,16,20,59,35,1
Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,25,16,9,15,1,7,15,46.7,8,125,46,36.8,51,64,10,12,4,0,8,15,40,15,0
Tomáš Souček,cz CZE,MF,West Ham,26,1995,34,68,41,31,29,8,25,68,36.8,43,483,129,26.7,201,220,62,49,15,0,34,55,123,119,1
Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,24,13,10,10,4,6,18,33.3,12,250,62,24.8,92,126,32,13,2,0,11,17,41,19,0
Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,52,30,32,17,3,25,41,61,16,259,93,35.9,144,106,9,56,29,0,27,50,102,139,1
Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,3,1,1,1,1,2,4,50,2,48,6,12.5,12,28,8,1,0,0,1,0,3,1,0
Jason Steele,eng ENG,GK,Brighton,30,1990,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Zack Steffen,us USA,GK,Manchester City,26,1995,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,7,2,2,4,1,1,5,20,4,41,14,34.1,7,29,5,4,1,0,3,2,9,1,0
Jack Stephens,eng ENG,DF,Southampton,27,1994,9,21,12,11,8,2,6,18,33.3,12,92,33,35.9,56,29,7,16,8,0,8,27,48,46,0
Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,28,18,2,13,13,6,21,28.6,15,317,93,29.3,38,147,132,15,0,0,15,15,43,3,0
Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,2,0,0,2,0,1,1,100,0,5,1,20,0,4,1,0,0,0,0,0,2,0,0
John Stones,eng ENG,DF,Manchester City,27,1994,12.4,5,4,3,2,0,2,4,50,2,58,22,37.9,23,29,6,9,3,0,6,17,22,41,1
Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,68,35,42,22,4,28,50,56,22,387,140,36.2,202,158,27,57,27,0,30,63,131,82,3
Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,6,4,2,1,3,3,3,100,0,22,9,40.9,5,7,10,2,0,0,2,5,11,0,0
Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,21,12,10,6,5,8,13,61.5,5,110,36,32.7,52,45,13,16,7,0,9,17,38,30,0
Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,31,15,26,5,0,13,35,37.1,22,191,44,23,107,62,22,44,10,0,34,35,66,25,0
Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16,40,23,25,13,2,20,35,57.1,15,175,56,32,99,45,31,18,4,1,14,35,75,43,1
James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,71,42,52,18,1,32,57,56.1,25,261,94,36,176,73,12,92,63,3,29,72,143,216,5
Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,20,12,9,7,4,5,10,50,5,155,47,30.3,64,55,36,21,5,0,16,24,44,30,1
Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,54,24,33,18,3,28,48,58.3,20,243,62,25.5,130,85,28,95,20,0,75,72,126,84,1
Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,12,5,5,5,2,4,18,22.2,14,269,68,25.3,62,115,92,18,0,0,18,19,31,7,0
Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,48,27,37,10,1,19,35,54.3,16,196,60,30.6,106,67,23,29,5,0,24,36,84,53,2
Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,48,29,33,10,5,20,52,38.5,32,381,105,27.6,200,136,45,57,15,1,42,40,88,48,1
Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,3,1,3,0,0,2,3,66.7,1,16,3,18.8,9,5,2,2,2,0,0,3,6,4,0
Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,67,49,24,37,6,30,94,31.9,64,489,146,29.9,164,251,74,47,13,1,34,41,108,42,2
Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,21,12,11,7,3,10,14,71.4,4,162,49,30.2,60,58,44,35,7,0,28,31,52,46,0
Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,38,17,19,12,7,16,30,53.3,14,221,70,31.7,90,97,34,37,3,0,34,36,74,48,1
James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,12,6,7,5,0,5,7,71.4,2,49,20,40.8,33,16,0,13,8,0,5,10,22,14,0
Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,31,20,5,16,10,6,25,24,19,457,112,24.5,53,192,212,31,3,1,28,21,52,43,1
Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,1,1,0,1,0,0,1,0,1,38,13,34.2,3,8,27,6,1,0,5,1,2,0,0
Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,29,15,15,9,5,8,35,22.9,27,302,98,32.5,85,128,89,44,3,0,41,21,50,6,0
Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,12,9,7,2,3,2,9,22.2,7,140,42,30,37,68,35,8,1,0,7,4,16,2,0
Bertrand Traoré,bf BFA,MFFW,Aston Villa,25,1995,2.4,2,0,0,0,2,1,3,33.3,2,27,5,18.5,4,5,18,0,0,0,0,0,2,1,0
Trézéguet,eg EGY,FW,Aston Villa,26,1994,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Francisco Trincão,pt POR,FWMF,Wolves,21,1999,14.8,29,15,9,13,7,6,14,42.9,8,338,94,27.8,74,169,95,21,1,0,20,15,44,1,0
Kieran Trippier,eng ENG,DF,Newcastle Utd,30,1990,4.8,21,13,11,8,2,10,16,62.5,6,60,18,30,21,31,8,12,3,0,9,11,32,18,0
William Troost-Ekong,ng NGA,DF,Watford,27,1993,15.4,17,10,10,7,0,6,11,54.5,5,106,38,35.8,62,41,3,29,14,1,15,23,40,88,1
Leandro Trossard,be BEL,FWMF,Brighton,26,1994,31.2,37,24,8,13,16,6,32,18.8,26,478,156,32.6,86,178,214,42,4,0,38,29,66,8,0
Kostas Tsimikas,gr GRE,DF,Liverpool,25,1996,9.7,20,10,9,6,5,6,16,37.5,10,137,47,34.3,53,45,39,15,2,0,13,14,34,22,0
Axel Tuanzebe,eng ENG,DF,Aston Villa,23,1997,5.6,8,6,6,2,0,2,5,40,3,47,13,27.7,23,20,4,5,4,0,1,9,17,13,1
Ozan Tufan,tr TUR,MF,Watford,26,1995,3.7,4,2,1,2,1,1,4,25,3,77,9,11.7,23,39,15,5,0,0,5,2,6,4,0
Christos Tzolis,gr GRE,FWMF,Norwich City,19,2002,3.7,6,2,3,3,0,3,10,30,7,69,14,20.3,26,20,23,4,0,0,4,2,8,2,0
Yan Valery,fr FRA,DF,Southampton,22,1999,4.1,10,7,5,4,1,5,11,45.5,6,50,20,40,22,24,4,10,3,0,7,12,22,21,1
Virgil van Dijk,nl NED,DF,Liverpool,30,1991,34,21,12,13,7,1,11,15,73.3,4,124,44,35.5,72,45,7,31,16,1,15,47,68,135,1
Raphaël Varane,fr FRA,DF,Manchester Utd,28,1993,20.3,27,16,17,7,3,10,22,45.5,12,164,58,35.4,112,47,5,32,14,0,18,35,62,95,1
