Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,0,1,0,0,0.32,0,0,,12.8,0,0,0,0,0,0.02,0,0
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,0,5,0,0,0.3,0,0,,19.6,0,0,0,0.4,0.4,0.08,-0.4,-0.4
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,0,4,1,25,1.2,0.3,0,0,15.9,0,0,0,0.6,0.6,0.14,-0.6,-0.6
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,0,7,1,14.3,0.62,0.09,0,0,7,0,0,0,0.8,0.8,0.11,-0.8,-0.8
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,0,13,7,53.8,0.72,0.39,0,0,23.1,0,0,0,0.8,0.8,0.06,-0.8,-0.8
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,0,3,2,66.7,0.2,0.13,0,0,24.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,4,12,4,33.3,0.32,0.11,0.33,1,11.7,0,0,0,2,2,0.16,2,2
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1,8,1,12.5,0.27,0.03,0.13,1,17.2,0,0,0,1,1,0.12,0,0
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,2,15,5,33.3,0.81,0.27,0.13,0.4,8.4,0,0,0,1.6,1.6,0.1,0.4,0.4
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,0,2,0,0,1.15,0,0,,14.9,0,0,0,0.5,0.5,0.23,-0.5,-0.5
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,0,5,1,20,0.25,0.05,0,0,10.2,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,1,7,1,14.3,0.38,0.05,0.14,1,17.4,0,0,0,0.8,0.8,0.11,0.2,0.2
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,9,46,22,47.8,2.34,1.12,0.2,0.41,16.6,4,0,1,6.7,5.9,0.13,2.3,3.1
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,1,0,0,4.09,0,0,,22.4,0,0,0,0,0,0.03,0,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,0,11,4,36.4,0.45,0.16,0,0,17,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,5,43,16,37.2,2.91,1.08,0.12,0.31,20.6,5,0,0,3.7,3.7,0.09,1.3,1.3
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2,18,3,16.7,0.59,0.1,0.11,0.67,19.9,8,0,0,1.1,1.1,0.06,0.9,0.9
