Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,0,0,0,6,5,1,1,17,3,0,0,0,96,19,20,48.7
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,3,0,0,12,11,0,6,9,8,0,0,0,54,2,7,22.2
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,1,0,0,0,1,0,1,1,2,0,0,0,2,0,6,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,0,0,0,14,4,0,20,17,12,0,0,0,72,17,9,65.4
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,8,1,1,24,43,1,4,39,37,0,0,0,250,68,38,64.2
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,6,0,0,54,20,1,8,41,45,0,0,0,355,44,52,45.8
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,0,0,0,26,4,0,20,9,7,0,0,0,49,13,28,31.7
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,1,0,0,2,0,0,2,3,3,0,0,0,9,0,2,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,1,0,0,0,6,0,0,0,0,0,0,0,106,0,0,
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,7,0,0,20,7,1,0,18,9,0,0,0,152,81,23,77.9
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,2,0,0,4,3,0,3,4,4,0,0,0,10,3,3,50
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,3,1,0,8,6,0,6,46,11,0,0,0,257,91,44,67.4
Ederson,br BRA,GK,Manchester City,27,1993,37,3,0,0,1,7,0,0,0,0,0,1,0,121,0,0,
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,4,0,0,28,11,4,8,10,13,0,0,0,86,46,64,41.8
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,0,0,0,11,24,3,16,19,17,0,0,0,67,27,25,51.9
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,0,0,0,2,7,0,7,3,1,0,0,0,45,1,4,20
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,1,0,0,5,7,0,0,18,9,0,0,0,94,11,11,50
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,4,0,0,38,28,1,35,19,33,0,0,0,167,35,61,36.5
Emerson,br BRA,DF,Tottenham,22,1999,25.4,5,0,0,38,53,2,60,35,39,0,0,0,211,41,42,49.4
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,1,0,0,6,4,0,30,10,10,0,0,0,85,6,9,40
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,3,0,0,9,4,0,1,8,10,0,0,0,35,2,2,50
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,3,0,0,16,12,0,3,31,18,0,0,0,180,53,18,74.6
